 date     Mom   
196302   2.50
196303   1.58
196304  -0.08
196305   0.37
196306   1.18
196307   0.99
196308   1.08
196309   0.13
196310   3.14
196311  -0.75
196312   1.69
196401   1.10
196402   0.25
196403   0.71
196404  -0.59
196405   2.56
196406   0.49
196407  -0.32
196408  -0.21
196409  -0.39
196410   0.18
196411   1.10
196412  -0.71
196501  -1.31
196502   0.28
196503   0.09
196504   2.54
196505   0.54
196506  -3.13
196507   4.09
196508   2.58
196509   3.32
196510   3.44
196511   4.41
196512   0.13
196601   5.39
196602   4.54
196603   1.35
196604   6.21
196605  -4.72
196606   3.34
196607  -1.41
196608  -2.09
196609  -1.77
196610  -5.14
196611   5.73
196612   1.07
196701  -6.75
196702   3.56
196703   1.43
196704   0.62
196705   0.59
196706   6.04
196707  -1.09
196708  -1.42
196709   2.55
196710   3.64
196711   1.29
196712   3.23
196801  -4.64
196802  -3.40
196803   3.18
196804   5.15
196805   3.73
196806  -1.92
196807  -0.85
196808   1.88
196809  -0.66
196810  -1.50
196811   1.66
196812   0.10
196901  -0.15
196902  -2.49
196903   3.96
196904   1.18
196905   1.67
196906  -2.23
196907   1.63
196908   2.14
196909   2.49
196910  -4.36
196911   3.61
196912   5.03
197001   0.63
197002   0.11
197003  -0.28
197004  -0.70
197005  -2.68
197006   5.78
197007  -2.96
197008  -6.49
197009  -8.92
197010   9.61
197011   2.88
197012  -2.22
197101  -6.59
197102   0.81
197103  -1.21
197104   1.32
197105   0.89
197106   2.71
197107  -2.36
197108   3.51
197109   2.09
197110   0.46
197111   1.47
197112  -0.66
197201   0.24
197202   2.70
197203   2.91
197204   2.87
197205   3.16
197206   1.94
197207   2.75
197208  -5.36
197209   1.76
197210   0.73
197211  -5.20
197212   4.99
197301   3.73
197302   2.11
197303   3.62
197304   6.35
197305   7.10
197306   4.32
197307 -11.50
197308   3.44
197309  -7.04
197310   6.74
197311   8.64
197312  10.29
197401  -8.79
197402   0.13
197403  -0.99
197404   2.00
197405  -0.25
197406   2.42
197407   3.01
197408   3.03
197409   4.32
197410  -0.52
197411   2.23
197412   2.94
197501 -13.80
197502  -0.58
197503  -1.97
197504   1.46
197505  -0.48
197506   0.06
197507   0.43
197508  -0.15
197509   0.33
197510  -0.12
197511  -0.46
197512  -0.12
197601   4.47
197602   0.36
197603   0.18
197604   0.51
197605  -1.11
197606  -0.43
197607  -0.10
197608  -0.85
197609   0.24
197610  -0.46
197611   2.94
197612   0.77
197701   3.96
197702   0.38
197703   0.49
197704   4.24
197705   2.02
197706   1.78
197707   0.33
197708  -1.74
197709   2.06
197710  -0.13
197711   2.23
197712   1.57
197801  -0.72
197802   1.90
197803   1.34
197804   0.84
197805   2.85
197806   2.78
197807   4.23
197808   2.87
197809  -3.14
197810  -8.38
197811   5.48
197812   3.05
197901  -1.26
197902  -1.08
197903   2.91
197904   0.81
197905  -0.38
197906   0.84
197907  -1.07
197908  -0.24
197909   5.33
197910   2.15
197911   7.95
197912   4.76
198001   7.47
198002   7.90
198003  -9.61
198004  -0.43
198005  -1.13
198006   1.59
198007   0.36
198008   3.20
198009   5.44
198010   7.33
198011  15.21
198012  -6.63
198101  -7.91
198102  -1.39
198103   0.78
198104  -0.96
198105   3.73
198106  -5.90
198107  -2.53
198108  -1.11
198109   1.93
198110   4.06
198111  -0.26
198112   1.32
198201   1.71
198202   4.94
198203   2.98
198204  -0.41
198205   2.53
198206   4.99
198207   4.47
198208  -3.52
198209   4.18
198210   0.05
198211   5.89
198212   0.03
198301  -1.67
198302   3.80
198303   0.92
198304   1.80
198305  -1.48
198306   1.78
198307  -3.12
198308  -5.44
198309  -0.11
198310  -4.56
198311  -0.11
198312   0.79
198401  -2.52
198402   0.17
198403   1.10
198404   2.08
198405   1.53
198406  -0.70
198407   2.93
198408  -5.74
198409   3.66
198410   3.23
198411   1.70
198412   1.50
198501  -6.93
198502   1.82
198503   1.69
198504   3.05
198505   3.97
198506   3.63
198507  -3.92
198508   1.79
198509   1.48
198510   4.87
198511  -0.39
198512  -0.13
198601   2.97
198602   2.76
198603   2.45
198604  -0.50
198605   2.03
198606   5.15
198607   1.80
198608  -5.02
198609  -5.86
198610   2.70
198611  -0.31
198612   0.37
198701   2.07
198702  -2.16
198703   1.60
198704   0.26
198705  -0.69
198706  -0.20
198707   2.69
198708  -0.89
198709   0.61
198710  -7.92
198711  -1.17
198712   5.78
198801  -7.63
198802  -1.54
198803   0.64
198804   2.25
198805   0.50
198806  -2.91
198807   0.64
198808   0.32
198809   0.24
198810   1.32
198811   0.41
198812   0.28
198901  -0.14
198902   0.87
198903   3.56
198904   1.70
198905   1.54
198906   0.65
198907   5.39
198908  -0.14
198909   3.39
198910   1.43
198911   2.57
198912   2.78
199001  -3.36
199002  -0.53
199003   1.68
199004   2.47
199005   3.02
199006   2.41
199007   5.95
199008   1.79
199009   5.52
199010   6.73
199011  -5.69
199012   0.01
199101  -6.52
199102  -4.83
199103   2.73
199104  -2.42
199105  -0.12
199106   0.40
199107   4.34
199108   1.59
199109   1.74
199110   3.21
199111   1.26
199112   8.30
199201  -2.47
199202  -0.66
199203  -0.35
199204  -2.60
199205   0.11
199206  -0.61
199207   1.43
199208  -0.51
199209   1.44
199210   2.74
199211  -0.32
199212   4.47
199301   4.82
199302   3.11
199303   3.74
199304   0.33
199305   0.28
199306   4.59
199307   3.24
199308   2.58
199309   3.31
199310  -2.70
199311  -4.71
199312   2.37
199401   0.09
199402  -0.27
199403  -1.31
199404   0.39
199405  -2.22
199406  -0.83
199407   0.18
199408   1.54
199409   1.29
199410   1.48
199411  -0.19
199412   3.51
199501  -1.82
199502  -0.33
199503   0.38
199504   1.85
199505  -0.43
199506   2.92
199507   2.57
199508  -0.02
199509   2.63
199510   4.14
199511  -0.60
199512   2.56
199601   0.55
199602   0.58
199603  -1.89
199604  -0.93
199605   1.55
199606   0.95
199607  -0.14
199608  -0.12
199609   2.70
199610   3.82
199611  -2.39
199612   0.60
199701   1.95
199702  -2.02
199703   0.98
199704   4.81
199705  -5.20
199706   2.67
199707   3.84
199708  -2.53
199709   1.46
199710  -0.44
199711   0.29
199712   3.84
199801   0.08
199802  -1.10
199803   2.14
199804   0.78
199805   1.86
199806   7.26
199807   3.69
199808   1.91
199809  -0.61
199810  -5.36
199811   1.18
199812   9.03
199901   3.02
199902  -0.13
199903  -1.36
199904  -9.14
199905  -5.25
199906   4.96
199907   1.60
199908   3.06
199909   6.49
199910   5.48
199911   5.57
199912  13.20
200001   1.90
200002  18.40
200003  -6.85
200004  -8.47
200005  -9.10
200006  16.55
200007  -0.08
200008   5.77
200009   2.18
200010  -4.70
200011  -2.49
200012   6.83
200101 -25.01
200102  12.56
200103   8.40
200104  -8.12
200105   2.13
200106   0.30
200107   5.58
200108   5.61
200109  11.54
200110  -8.42
200111  -8.62
200112   0.01
200201   3.73
200202   6.81
200203  -1.68
