date             aapl          sp
20001102       0.088415      0.004996
20001103      -0.002801     -0.001141
20001106      -0.036517      0.003855
20001107      -0.005831     -0.000223
20001108      -0.058651     -0.015777
20001109       0.006231     -0.006486
20001110      -0.055728     -0.024398
20001113       0.016393     -0.010776
20001114       0.045161      0.023452
20001115      -0.018519      0.004960
20001116      -0.044025     -0.012584
20001117      -0.026316     -0.003352
20001120       0.023649     -0.018352
20001121      -0.006601      0.003523
20001122      -0.016611     -0.018548
20001124       0.043919      0.014678
20001127      -0.032362      0.005366
20001128      -0.035117     -0.009548
20001129      -0.025997      0.004371
20001130      -0.060498     -0.020105
20001201       0.034091      0.000213
20001204      -0.021978      0.007406
20001205       0.018727      0.038922
20001206      -0.158088     -0.018220
20001207       0.000000     -0.005853
20001208       0.052402      0.019605
20001211       0.008299      0.007526
20001212       0.012346     -0.006535
20001213      -0.024390     -0.008161
20001214      -0.037500     -0.014015
20001215      -0.025974     -0.021463
20001218       0.013333      0.008071
20001219      -0.017544     -0.012958
20001220       0.026786     -0.031296
20001221      -0.021739      0.008002
20001222       0.066667      0.024403
20001226      -0.020833      0.007060
20001227       0.008511      0.010440
20001228       0.000000      0.003988
20001229       0.004219     -0.010448
20010102       0.000000     -0.028032
20010103       0.100840      0.050099
20010104       0.041985     -0.010552
20010105      -0.040293     -0.026242
20010108       0.011450     -0.001918
20010109       0.037736      0.003812
20010110      -0.036364      0.009586
20010111       0.086792      0.010318
20010112      -0.045139     -0.006406
20010116      -0.003636      0.006319
20010117      -0.018248      0.002126
20010118       0.111524      0.013915
20010119       0.043478     -0.004028
20010122      -0.012821      0.000268
20010123       0.064935      0.013032
20010124       0.000000      0.002867
20010125      -0.027439     -0.004977
20010126      -0.018809     -0.001886
20010129       0.108626      0.006805
20010130       0.002882      0.007008
20010131      -0.005747     -0.005620
20010201      -0.023121      0.005461
20010202      -0.023669     -0.017474
20010205      -0.021212      0.003587
20010206       0.046440     -0.001514
20010207      -0.017751     -0.008408
20010208       0.000000     -0.006235
20010209      -0.078313     -0.013336
20010212       0.029412      0.011827
20010213      -0.028571     -0.008652
20010214       0.019608     -0.002184
20010215       0.028846      0.008124
20010216      -0.052960     -0.018905
20010220      -0.036184     -0.017357
20010221       0.030717     -0.018508
20010222      -0.003311     -0.001952
20010223       0.000000     -0.005555
20010226       0.036545      0.017490
20010227      -0.006410     -0.007660
20010228      -0.058065     -0.014309
20010301       0.027397      0.001040
20010302       0.026667     -0.005680
20010305       0.058442      0.005858
20010306       0.055215      0.009981
20010307      -0.011628      0.006452
20010308      -0.020588      0.002259
20010309      -0.027027     -0.024764
20010312      -0.080247     -0.043181
20010313       0.050336      0.014829
20010314       0.044728     -0.025842
20010315      -0.036697      0.005871
20010316      -0.003175     -0.019624
20010319       0.047771      0.017627
20010320      -0.042553     -0.024077
20010321       0.022222     -0.017924
20010322       0.074534     -0.004064
20010323       0.063584      0.019909
20010326      -0.053043      0.011282
20010327       0.050046      0.025575
20010328      -0.030608     -0.024430
20010329       0.016238     -0.004630
20010330      -0.020417      0.010784
20010402      -0.021749     -0.012462
20010403      -0.062529     -0.034393
20010404      -0.036561     -0.002901
20010405       0.070256      0.043680
20010406      -0.013416     -0.019984
20010409      -0.002428      0.008117
20010410       0.073028      0.027066
20010411      -0.010889     -0.002131
20010412       0.028440      0.015104
20010416      -0.043711     -0.003228
20010417      -0.048508      0.010282
20010418       0.117157      0.038890
20010419       0.128565      0.012551
20010420      -0.026439     -0.008551
20010423      -0.031550     -0.014980
20010424      -0.009072     -0.012161
20010425       0.028714      0.015941
20010426      -0.001214      0.004696
20010427       0.061158      0.015010
20010430      -0.027099     -0.002865
20010501       0.017262      0.013590
20010502       0.025453      0.000782
20010503      -0.061301     -0.014873
20010504       0.031651      0.014440
20010507      -0.030680     -0.002447
20010508      -0.015625     -0.001828
20010509      -0.024013     -0.004488
20010510      -0.040867     -0.000287
20010511      -0.006522     -0.007577
20010514       0.019256      0.002609
20010515      -0.004723      0.000416
20010516       0.039698      0.028453
20010517      -0.022830      0.002724
20010518      -0.000849      0.002693
20010521       0.001275      0.016154
20010522      -0.002547     -0.002628
20010523      -0.011489     -0.015526
20010524      -0.001291      0.003196
20010525      -0.018966     -0.011816
20010529      -0.056678     -0.007794
20010530      -0.078714     -0.015655
20010531       0.008595      0.006202
20010601       0.047118      0.003862
20010604      -0.011010      0.005108
20010605       0.013553      0.012990
20010606      -0.010029     -0.010549
20010607       0.044863      0.005457
20010608      -0.015697     -0.009397
20010611      -0.060037     -0.008356
20010612       0.013473      0.001164
20010613       0.007878     -0.011347
20010614      -0.028823     -0.017502
20010615       0.028169     -0.004517
20010618      -0.005382     -0.004883
20010619      -0.006886      0.003434
20010620       0.073304      0.008709
20010621       0.037840      0.011364
20010622      -0.010227     -0.009450
20010625       0.077718     -0.005509
20010626      -0.010004     -0.001510
20010627      -0.017263     -0.004676
20010628       0.008569      0.012493
20010629      -0.012319     -0.001452
20010702       0.027957      0.010037
20010703      -0.002510     -0.001827
20010705      -0.027265     -0.012321
20010706      -0.050022     -0.023498
20010709       0.030413      0.006879
20010710      -0.068723     -0.014398
20010711       0.066225     -0.001134
20010712       0.080745      0.023691
20010713       0.020115      0.006241
20010716      -0.035815     -0.010883
20010717       0.047579      0.009971
20010718      -0.171713     -0.005542
20010719      -0.039923      0.006053
20010720       0.001002     -0.003432
20010723      -0.022022     -0.016369
20010724      -0.023030     -0.016272
20010725      -0.032478      0.016080
20010726       0.006497      0.010449
